ID,Individual Code,Seat,Treatment,Market,Gender,Number of Answers,Answers Missing,Individual Answer Stage 1,Individual Answer Stage 2,Individual Answer Stage 3,Individual Answer Stage 4,Group Answer Stage 1,Group Answer Stage 2,Group Answer Stage 3,Group Answer Stage 4,Final Answer Stage 1,Final Answer Stage 2,Final Answer Stage 3,Final Answer Stage 4,Time Individual Stage 1,Time Individual Stage 2,Time Individual Stage 3,Time Individual Stage 4,Time Group Stage 1,Time Group Stage 2,Time Group Stage 3,Time Group Stage 4,Experience,Skills
1806G,18,06,G,2,Female,4,FALSE,12.07,19.3,3,3,37,26,2,3,37,26,2,3,11/6/2019 16:07:43,11/6/2019 16:22:40,11/6/2019 16:35:10,11/6/2019 16:45:53,11/6/2019 16:07:43,11/6/2019 16:22:40,11/6/2019 16:35:10,11/6/2019 16:45:53,Yes,3
1706G,17,06,G,2,Female,4,FALSE,37.5,68,1,0.56,37,26,2,0.5,37,26,2,0.5,11/6/2019 16:07:44,11/6/2019 16:22:41,11/6/2019 16:35:10,11/6/2019 16:45:58,11/6/2019 16:07:44,11/6/2019 16:22:41,11/6/2019 16:35:10,11/6/2019 16:45:58,Yes,2
1606G,16,06,G,2,Male,4,FALSE,43,26,2,34,37,26,2,34,37,26,2,34,11/6/2019 16:07:45,11/6/2019 16:22:42,11/6/2019 16:35:10,11/6/2019 16:45:45,11/6/2019 16:07:45,11/6/2019 16:22:42,11/6/2019 16:35:10,11/6/2019 16:45:45,No,3
5117G,51,17,G,4,Female,4,FALSE,29,16,0.8,0.11,22,3,0.67,0.05,22,3,0.67,0.05,11/6/2019 16:08:29,11/6/2019 16:23:35,11/6/2019 16:37:20,11/6/2019 16:45:01,11/6/2019 16:08:29,11/6/2019 16:23:35,11/6/2019 16:37:20,11/6/2019 16:45:01,Yes,2
4917G,49,17,G,4,Male,4,FALSE,17,3,0.9,6,22,3,0.67,3,22,3,0.67,3,11/6/2019 16:08:30,11/6/2019 16:23:34,11/6/2019 16:37:18,11/6/2019 16:44:45,11/6/2019 16:08:30,11/6/2019 16:23:34,11/6/2019 16:37:18,11/6/2019 16:44:45,Yes,4
5017G,50,17,G,4,Male,4,FALSE,22,3.33333333,0.675,6.9,22,3,0.67,2.7,22,3,0.67,2.7,11/6/2019 16:08:32,11/6/2019 16:23:37,11/6/2019 16:37:36,11/6/2019 16:46:54,11/6/2019 16:08:32,11/6/2019 16:23:37,11/6/2019 16:37:36,11/6/2019 16:46:54,Yes,3
1004G,10,04,G,1,Male,4,FALSE,65,36,20,1.5,30,6.5,0.8,0.25,30,6.5,0.8,0.25,11/6/2019 16:08:36,11/6/2019 16:24:15,11/6/2019 16:34:54,11/6/2019 16:45:38,11/6/2019 16:08:36,11/6/2019 16:24:15,11/6/2019 16:34:54,11/6/2019 16:45:38,Yes,3
1104G,11,04,G,1,Male,3,TRUE,16,7,0.8,-,30,6.5,0.8,-,30,6.5,0.8,-,11/6/2019 16:08:37,11/6/2019 16:24:09,11/6/2019 16:35:05,-,11/6/2019 16:08:37,11/6/2019 16:24:09,11/6/2019 16:35:05,-,#N/A,#N/A
1204G,12,04,G,1,Male,4,FALSE,38,12,0.6,1,30,6.5,0.8,1,30,6.5,0.8,1,11/6/2019 16:08:46,11/6/2019 16:24:16,11/6/2019 16:39:03,11/6/2019 16:45:47,11/6/2019 16:08:46,11/6/2019 16:24:16,11/6/2019 16:39:03,11/6/2019 16:45:47,No,2
5920G,59,20,G,4,Female,3,TRUE,90,0,0,-,0,0,0,-,0,0,0,-,11/6/2019 16:08:47,11/6/2019 16:21:36,11/6/2019 16:34:46,-,11/6/2019 16:08:47,11/6/2019 16:21:36,11/6/2019 16:34:46,-,#N/A,#N/A
2509G,25,09,G,2,Male,4,FALSE,78,35,8,19,35,10,2.2,0.4,35,10,2.2,0.4,11/6/2019 16:08:49,11/6/2019 16:24:45,11/6/2019 16:34:32,11/6/2019 16:44:37,11/6/2019 16:08:49,11/6/2019 16:24:45,11/6/2019 16:34:32,11/6/2019 16:44:37,Yes,3
3713G,37,13,G,3,Female,3,TRUE,34,22,8,-,50,29,4.33,-,50,29,4.33,-,11/6/2019 16:08:50,11/6/2019 16:22:24,11/6/2019 16:35:00,-,11/6/2019 16:08:50,11/6/2019 16:22:24,11/6/2019 16:35:00,-,#N/A,#N/A
5820G,58,20,G,4,Male,3,TRUE,0,0,0,-,0,0,0,-,0,0,0,-,11/6/2019 16:08:51,11/6/2019 16:21:36,11/6/2019 16:34:38,-,11/6/2019 16:08:51,11/6/2019 16:21:36,11/6/2019 16:34:38,-,#N/A,#N/A
3913G,39,13,G,3,Female,4,FALSE,75,36,0,0,50,29,4.33,0,50,29,4.33,0,11/6/2019 16:08:52,11/6/2019 16:22:21,11/6/2019 16:34:45,11/6/2019 16:49:47,11/6/2019 16:08:52,11/6/2019 16:22:21,11/6/2019 16:34:45,11/6/2019 16:49:47,Yes,2
2709G,27,09,G,2,Female,4,FALSE,35,9,2,1,35,10,2.2,1,35,10,2.2,1,11/6/2019 16:08:54,11/6/2019 16:24:45,11/6/2019 16:34:26,11/6/2019 16:44:57,11/6/2019 16:08:54,11/6/2019 16:24:45,11/6/2019 16:34:26,11/6/2019 16:44:57,Yes,3
3512G,35,12,G,3,Male,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,11/6/2019 16:08:55,11/6/2019 16:21:29,11/6/2019 16:34:18,11/6/2019 16:46:17,11/6/2019 16:08:55,11/6/2019 16:21:29,11/6/2019 16:34:18,11/6/2019 16:46:17,Yes,3
2609G,26,09,G,2,Male,3,TRUE,47,20,4,-,35,10,2.2,-,35,10,2.2,-,11/6/2019 16:08:56,11/6/2019 16:24:50,11/6/2019 16:34:44,-,11/6/2019 16:08:56,11/6/2019 16:24:50,11/6/2019 16:34:44,-,#N/A,#N/A
3612G,36,12,G,3,Male,4,FALSE,25,0,0,0,0,0,0,0,0,0,0,0,11/6/2019 16:08:57,11/6/2019 16:21:26,11/6/2019 16:34:18,11/6/2019 16:46:57,11/6/2019 16:08:57,11/6/2019 16:21:26,11/6/2019 16:34:18,11/6/2019 16:46:57,No,3
3813G,38,13,G,3,Male,4,FALSE,40,29,5,0,50,29,4.33,0,50,29,4.33,0,11/6/2019 16:08:59,11/6/2019 16:22:36,11/6/2019 16:34:49,11/6/2019 16:44:46,11/6/2019 16:08:59,11/6/2019 16:22:36,11/6/2019 16:34:49,11/6/2019 16:44:46,Yes,3
3211G,32,11,G,3,Male,4,FALSE,99.99999999,0,0,0,100,0,0,0,100,0,0,0,11/6/2019 16:09:13,11/6/2019 16:22:04,11/6/2019 16:35:10,11/6/2019 16:47:21,11/6/2019 16:09:13,11/6/2019 16:22:04,11/6/2019 16:35:10,11/6/2019 16:47:21,Yes,3
3311G,33,11,G,3,Female,4,FALSE,22,0,0,0,100,0,0,0,100,0,0,0,11/6/2019 16:09:33,11/6/2019 16:22:05,11/6/2019 16:35:08,11/6/2019 16:46:08,11/6/2019 16:09:33,11/6/2019 16:22:05,11/6/2019 16:35:08,11/6/2019 16:46:08,Yes,2
3111G,31,11,G,3,Male,4,FALSE,100,0,0,32,100,0,0,0,100,0,0,0,11/6/2019 16:09:43,11/6/2019 16:22:03,11/6/2019 16:35:11,11/6/2019 16:46:14,11/6/2019 16:09:43,11/6/2019 16:22:03,11/6/2019 16:35:11,11/6/2019 16:46:14,Yes,2
0201G,02,01,G,1,Male,4,FALSE,33.33,11,0.25,0.07,20,5,0.2,0.05,20,5,0.2,0.05,11/6/2019 16:10:12,11/6/2019 16:22:55,11/6/2019 16:35:10,11/6/2019 16:46:28,11/6/2019 16:10:12,11/6/2019 16:22:55,11/6/2019 16:35:10,11/6/2019 16:46:28,No,3
0101G,01,01,G,1,Female,4,FALSE,40,10,0.2,0,20,5,0.2,0,20,5,0.2,0,11/6/2019 16:10:16,11/6/2019 16:22:56,11/6/2019 16:35:15,11/6/2019 16:46:25,11/6/2019 16:10:16,11/6/2019 16:22:56,11/6/2019 16:35:15,11/6/2019 16:46:25,Yes,3
